"Prince Rupert, British Columbia",54.3122,-130.3271,https://www.bctransit.com/prince-rupert/home
Vancouver,49.2608,-123.1139,https://www.translink.ca/
"Summerside, Prince Edward Island",46.4000,-63.7833,https://www.t3transit.ca/
Penticton,49.4911,-119.5886,https://www.bctransit.com/south-okanagan-similkameen/home
Saint-Hyacinthe,45.6167,-72.9500,https://www.st-hyacinthe.ca/services-aux-citoyens/transport-collectif
"Fort St. John, British Columbia",56.2525,-120.8464,https://www.bctransit.com/fort-st-john/home
Gatineau,45.4833,-75.6500,http://www.sto.ca/
"Campbell River, British Columbia",50.0244,-125.2475,https://www.bctransit.com/campbell-river/home
Port Alberni,49.2339,-124.8050,https://www.bctransit.com/port-alberni/home
Sechelt,49.4742,-123.7540,https://www.bctransit.com/sunshine-coast/home
"Squamish, British Columbia",49.7017,-123.1588,https://www.bctransit.com/squamish/home
"Merritt, British Columbia",50.1119,-120.7867,https://www.bctransit.com/merritt/home
Salmon Arm,50.7022,-119.2722,https://www.bctransit.com/shuswap/home
"Trail, British Columbia",49.0950,-117.7100,https://www.bctransit.com/west-kootenay/home
"Castlegar, British Columbia",49.3261,-117.6647,https://www.bctransit.com/west-kootenay/home
"Nelson, British Columbia",49.5000,-117.2833,https://www.bctransit.com/west-kootenay/home
"Cranbrook, British Columbia",49.5136,-115.7690,https://www.bctransit.com/cranbrook/home
"Quesnel, British Columbia",52.9784,-122.4930,https://www.bctransit.com/quesnel/home
"Williams Lake, British Columbia",52.1417,-122.1417,https://www.bctransit.com/williams-lake/home
"Whistler, British Columbia",50.1208,-122.9544,https://www.bctransit.com/whistler/home
"Revelstoke, British Columbia",50.9981,-118.1960,https://www.bctransit.com/revelstoke/home
"Duncan, British Columbia",48.7786,-123.7081,https://www.bctransit.com/cowichan-valley/home
Chemainus,48.9167,-123.7000,https://www.bctransit.com/cowichan-valley/home
"Parksville, British Columbia",49.3150,-124.3120,https://www.bctransit.com/nanaimo/home
"Terrace, British Columbia",54.5165,-128.5997,https://www.bctransit.com/terrace/home
"Creston, British Columbia",49.0600,-116.3100,https://www.bctransit.com/creston-valley/home
100 Mile House,51.6419,-121.2972,https://www.bctransit.com/100-mile-house/home
Port Hardy,50.7225,-127.4930,https://www.bctransit.com/mount-waddington/home
"Powell River, British Columbia",49.8353,-124.5247,https://www.bctransit.com/powell-river/home
Spruce Grove,53.5450,-113.9008,https://www.sprucegrove.org/services/spruce-grove-transit/
Kamloops,50.6761,-120.3410,https://www.bctransit.com/kamloops/home
"Candiac, Quebec",45.3833,-73.5167,https://exo.quebec/fr/planifier-trajet/autobus/CITLR
"West Elgin, Ontario",42.5833,-81.6667,https://www.westelgin.net/en/living-here/transit.aspx
"Leamington, Ontario",42.0520,-82.5999,https://www.leamington.ca/en/our-community/ltgo-on-demand-transit.aspx
"Wellington, Ontario",43.9500,-77.3500,https://www.wellington.ca/programmes-services/transportation/ride-well
County of Brant,43.1167,-80.3667,https://www.brant.ca/en/roads-parking-and-transit/brant-transit.aspx
"Durham, Ontario",44.1833,-80.8167,https://www.durhamregiontransit.com/en/index.aspx
"Fort Erie, Ontario",42.9000,-78.9167,https://nrtransit.ca/
Niagara-on-the-Lake,43.2553,-79.0717,https://nrtransit.ca/
Port Colborne,42.8833,-79.2500,https://nrtransit.ca/
"Grimsby, Ontario",43.2000,-79.5500,https://nrtransit.ca/
"Wainfleet, Ontario",42.9333,-79.3833,https://nrtransit.ca/
East Gwillimbury,44.1200,-79.4300,https://www.routescc.org/about
Greater Sudbury,46.4900,-81.0100,https://www.greatersudbury.ca/live/transit/
"Picton, Ontario",44.0000,-77.1333,https://quintetransit.ca/county-transit
Cobourg,43.9667,-78.1667,https://www.cobourg.ca/en/parks-recreation-community/public-transit.aspx
Shawinigan,46.5667,-72.7500,https://www.shawinigan.ca/services-aux-citoyens/transport/
"Magog, Quebec",45.2667,-72.1500,https://transportmemphremagog.com/transport-collectif/
"Hinton, Alberta",53.4114,-117.5640,https://www.hinton.ca/259/Transportation-Transit
Baie-Comeau,49.2167,-68.1500,https://www.ville.baie-comeau.qc.ca/services/services-essentiels/transport/
Boischatel,46.9000,-71.1500,https://www.boischatel.ca/citoyens/transport-collectif/
North Battleford,52.7575,-108.2861,https://www.cityofnb.ca/resident_services/public_transportation.html
"Marmora, Ontario",44.4833,-77.6833,https://chsn.support/transit/
"Huntingdon, Quebec",45.0833,-74.1667,https://mrchsl.com/services/transport
Wallaceburg,42.5931,-82.3886,https://www.chatham-kent.ca/transit/Pages/default.aspx
Gabriola Island,49.1500,-123.7330,https://gertie.ca/
"Maskinongé, Quebec",46.2333,-73.0167,https://www.ctcmaskinonge.org/transport-collectif
Victoriaville,46.0500,-71.9667,https://www.victoriaville.ca/page/139/taxibus.aspx
Daveluyville,46.2008,-72.1364,https://www.regionvictoriaville.com/page/1119/municar.aspx
Saint-Joseph-de-Sorel,46.0333,-73.1167,https://stcpierredesaurel.ca/
Orillia,44.6000,-79.4167,https://www.orillia.ca/en/transit.aspx
"Pembroke, Ontario",45.8167,-77.1167,https://pembroke.ca/en/living-here/transit.aspx
Okotoks,50.7250,-113.9750,https://www.okotoks.ca/your-services/residential-services/okotoks-transit
Lachute,45.6500,-74.3333,https://argenteuil.qc.ca/services/transport-adapte-et-collectif
